gutenberg_id,match_rate,stanza_count,parquet_line_count
27069,1.000000,37,229
9825,1.000000,12,166
36305,1.000000,54,151
27735,1.000000,31,117
29210,1.000000,57,263
27727,1.000000,44,200
39797,1.000000,53,167
33691,1.000000,36,142
17764,1.000000,33,129
36925,1.000000,43,285
25553,1.000000,28,125
42667,1.000000,20,267
32990,1.000000,47,248
1978,1.000000,46,141
35922,1.000000,8,241
22032,1.000000,52,255
2824,1.000000,128,253
35515,1.000000,15,106
26626,1.000000,50,190
25634,1.000000,63,269
23314,1.000000,26,102
24673,1.000000,42,262
26796,1.000000,22,110
34438,1.000000,27,102
45066,1.000000,144,150
35777,1.000000,22,130
33674,1.000000,45,263
36094,1.000000,57,238
41808,1.000000,42,165
32099,1.000000,19,144
23454,1.000000,53,183
11333,1.000000,74,210
16081,1.000000,29,125
13213,1.000000,71,178
37091,1.000000,55,236
26937,1.000000,85,195
28218,1.000000,25,130
8782,1.000000,27,261
8779,1.000000,19,276
40152,1.000000,35,255
25698,1.000000,31,266
24611,1.000000,42,123
39798,1.000000,7,90
8780,1.000000,33,272
37542,1.000000,44,165
37543,1.000000,41,147
26650,1.000000,10,230
38599,1.000000,18,143
24825,1.000000,31,227
24331,1.000000,50,161
33629,1.000000,58,200
24336,1.000000,55,195
8781,1.000000,24,254
26431,1.000000,71,300
32184,1.000000,10,144
31467,1.000000,70,277
26803,1.000000,50,191
27175,1.000000,39,149
17254,1.000000,46,178
31486,1.000000,21,106
18937,1.000000,45,121
17104,1.000000,44,175
23353,1.000000,34,128
24465,1.000000,21,101
37690,1.000000,34,136
37414,1.000000,79,124
33533,1.000000,4,209
33150,1.000000,2,166
20652,1.000000,66,178
27407,1.000000,85,299
23467,1.000000,31,147
39475,1.000000,12,51
23404,1.000000,24,91
33023,1.000000,60,350
36337,1.000000,63,327
36618,1.000000,71,306
24485,1.000000,38,87
32452,1.000000,14,50
4696,1.000000,84,419
36168,1.000000,164,482
17135,1.000000,18,59
40490,1.000000,88,424
1664,1.000000,107,477
23338,1.000000,24,76
33457,1.000000,13,52
23336,1.000000,27,92
37154,1.000000,58,383
37980,1.000000,114,466
39656,1.000000,17,68
34113,1.000000,18,81
40345,1.000000,46,346
25592,1.000000,13,51
23316,1.000000,15,53
37518,1.000000,20,72
17283,1.000000,27,99
20378,1.000000,52,333
14005,1.000000,51,395
26834,1.000000,90,379
39796,1.000000,101,499
33555,1.000000,29,333
31304,1.000000,50,87
11150,1.000000,125,351
27474,1.000000,99,362
23482,1.000000,31,69
9465,1.000000,48,424
4399,1.000000,70,314
45292,1.000000,379,379
28352,1.000000,49,58
17604,1.000000,15,71
35357,1.000000,15,67
8787,1.000000,38,419
25442,1.000000,57,81
27396,1.000000,133,314
26790,1.000000,86,388
39638,1.000000,20,458
25621,1.000000,22,85
27408,1.000000,90,341
24856,1.000000,261,304
8788,1.000000,33,420
