gutenberg_id,line_count,word_count,bucket,first_line,first_5_lines,last_5_lines,type_token_ratio,imagery_word_count,imagery_density,estimated_era,avg_line_length_chars,score
24449,141,866,101-250,"illustration, so the illustration tags within","illustration, so the illustration tags within | the text have been removed to avoid congestion. | left as printed. | of the | penned & portrayed","The sweet-tongued nightingale replied, | Dissolved in streams of silver sound, | Merged in the moonlight, lost & found; | Like the dancers, till in shade, | Of Summer's verdant night they fade.",0.5242,71,0.5035,modern,34.1,60.900999999999996
27069,229,1781,101-250,Sonnets from the Crimea,"Sonnets from the Crimea | A biographical sketch by Edna Worthley Underwood | Mountains from the Keslov Steppe | On Juda's Cliff | emergency. Eloquence, inspiration, and patriotic fervor must have","And passions break upon the heart and brain, | To leave their ruin there--shipwreck and waste-- | Pick up your lute! Upon it undefiled | You'll find song-pearls that your heart-deeps retain, | The crown the years have brought you, white and chaste.",0.4603,101,0.441,modern,43.4,55.859
9825,166,1294,101-250,"O winter! frozen pulse and heart of fire,","O winter! frozen pulse and heart of fire, | What loss is theirs who from thy kingdom turn | Dismayed, and think thy snow a sculptured urn | Of death! Far sooner in midsummer tire | The streams than under ice. June could not hire","We gird against the cold of winter wind | Our loins now with mighty bands of sleep, | In longest, darkest nights take rest and ease, | And every shortening day, as shadows creep | O'er the brief noontide, fresh surprises find.",0.4858,62,0.3735,archaic,42.7,53.249
36305,151,1235,101-250,"Afoot and light-hearted, I take to the open road,","Afoot and light-hearted, I take to the open road, | Healthy, free, the world before me, | The long brown path before me, leading wherever I choose. | _In the same Series._ | Ever upon this stage","Passage to you!... | O my brave soul! | O farther, farther sail! | O daring joy, but safe! Are they not all the seas of God? | O farther, farther, farther sail!",0.4231,60,0.3974,archaic,45.2,52.562999999999995
27735,117,859,101-250,In the,In the | Great Steep's | Their steps are light and exceedingly fleet: | They pass me by in the hurrying street. | I pause to look at a window's show--,"Happy Heart coming home from the far, far hills, | How the primrose flamed in the arctic chills! | And you heard the flutes of the summit birds: | You will keep forever their sky-lost words, | Happy Heart coming home from the hills.",0.4624,42,0.359,modern,38.8,51.822
25455,157,1074,101-250,"_Author of ""Love Letters of a Violinist,"" ""Vox Amoris,"" &c._","_Author of ""Love Letters of a Violinist,"" ""Vox Amoris,"" &c._ | Up with the country's flag! | And let the winds caress it, fold on fold,-- | A stainless flag, and glorious to behold! | It is our honour's pledge;","Of all we do and dare, in our degree, | And all the land's great shout, | And all the pomp and pageant of the Sea! | JUST READY: _Author's Edition, Crown 8vo., Price 5s. nett._ | 'The giant-singer who did storm the gates",0.4317,53,0.3376,modern,36.3,49.830999999999996
29210,263,1686,251-500,"_Desmond FitzGerald, Inc._","_Desmond FitzGerald, Inc._ | unbroken as that of unfathomable deeps, of the stern and | uncompromising individuality of a disturbed and vengeful North. | happy-throated songsters, that the melancholy of the forest is | brightened by gay flowers. The weight is then lifted from men's","They stand like ghosts above new-fallen snows. | The world seems even greyer than the skies. | 'Twas yesterday the homeward-honking geese | Fled as from death. They know too well what lies | Behind this sinister, foreboding peace!",0.4417,83,0.3156,modern,34.6,49.031
27727,200,1270,101-250,"Copyright 1893, by L. Y. PINNEY AND E. N. PIERCE","Copyright 1893, by L. Y. PINNEY AND E. N. PIERCE | AUTUMNAL skies were fair, and blue, | And soft and mild the morning breeze; | With sails unfurled--a joyous crew-- | We sought Pacific's tranquil seas,","And though our bark in other climes | May loose again its snowy sail, | Our hearts with joy will oftentimes | These isles, these shores, this mount and vale | Recall, and bless that kindly fate",0.4852,56,0.28,early_modern,34.8,48.556000000000004
39797,167,1303,101-250,Watching the tremulous flicker of the green,"Watching the tremulous flicker of the green | Against the open quiet of the sky, | I hear my ancient way-fellows convene | In the great wood behind me.  Where I lie | They may not see me; for the grasses grow","That beat against the far, unclouded sky: | _Who worships me alway, who alway cleaves_ | _Close unto me till his last call rings clear_ | _Across the pathless wood,--his soul receives_ | _My peace continually and shall not fear._",0.4194,53,0.3174,archaic,41.6,48.452
33691,142,984,101-250,"I know where some babies are snug asleep,","I know where some babies are snug asleep, | All in a long straight row. | And I know that someone is singing to them, | Singing soft and low. | And all night long the babies sleep","Of the Evening Star, agleam. | Oh, little ship of Baby Dreams | Far out on the sapphire sea, | May the dear white angels softly watch | O'er thy little crew and thee!",0.3327,49,0.3451,modern,36.3,47.236000000000004
17764,129,864,101-250,ENTP at Stationer's Hall,"ENTP at Stationer's Hall | The sky is dull and grey, | Piercing and chill the blast, | Each step resounds on the frosty ground, | Winter is come at last.","Ere King Winter goes away?"" | ""He will lay upon Baby's cradle | The snowdrops that early come forth; | And then, my dears, he will bid us good bye | And go back to his home in the North.""",0.4555,35,0.2713,modern,33.3,47.230000000000004
36925,285,2246,251-500,"O beautiful wind of the West,","O beautiful wind of the West, | In your wand'rings o'er land and sea, | What have you seen in your quest? | Come, tell your story to me. | In the isles of the southern seas,","Anna--Equal to a penny. | Ghusl munta--Bath want. | Ghusl na munta--Bath not want. | Chit--Anything contained in an envelope, usually meaning | a letter.",0.3842,89,0.3123,early_modern,40.3,47.141000000000005
25553,125,635,101-250,"I love the flowers, the fragrant flowers!","I love the flowers, the fragrant flowers! | They're fairy things to me; | They seem like angels sent to bless, | And teach of purity. | There is beauty in flowers","No man so great, no child so small, | That from his eye can flee! | DIARIES for each year, | TUCK MEMORANDUMS of all sizes, | and all other Blanks used by Sheriffs,",0.4798,30,0.24,early_modern,26.4,46.394
36137,243,1788,101-250,preoccupied him as Oxford's Professor of Poetry.,"preoccupied him as Oxford's Professor of Poetry. | Amaz'd stood _Turnus_, and th' _Ausonian_ Chiefs; | 'Till, looking back, they saw the Navy move | Cov'ring the Sea, and gliding make to Shore. | Fierce burns his Helm; and from his tow'ring Crest"," _Upon the Article of_ Virgil's _Invention, see M._ Segrais _at |  Paradise lost, _Book VII._ |  _Preface to Mr._ Pope's Homer. |  _Preface to it._ |  _Preface to his_ Virgil.",0.5949,39,0.1605,modern,44.4,45.872
